DEMAND_ID,facility_id,time_min,distance_m,facility_id_foot,time_min_foot,departamento_x,facility_id_bike,time_min_bike,departamento_y,ratio_foot_car,ratio_bike_car,cambia_establecimiento_auto_vs_pie
658,8656,33.168853094973564,36494.922723936055,8656.0,486.5989696524808,JUNIN,8656.0,156.40681167401164,JUNIN,14.670358612014246,4.715472411004577,0.0
660,442,8.58855470698132,4124.291216015532,442.0,54.99054954687375,JUNIN,442.0,17.675533782923708,JUNIN,6.402771062536745,2.0580335558153826,0.0
661,365,63.748657215217435,39606.98477372508,365.0,528.0931303163344,JUNIN,365.0,169.7442204588218,JUNIN,8.283988296937387,2.6627105240155893,0.0
664,442,26.533351384761623,15930.342046518143,442.0,213.35410460435108,JUNIN,442.0,67.96754788964608,JUNIN,8.040978371352008,2.5615892581394957,0.0
665,520,17.733338800168898,12658.799714189605,520.0,168.78399618919474,JUNIN,520.0,54.2519987750983,JUNIN,9.51789158776954,3.05932229606878,0.0
666,4370,1.8215271943182227,1994.0523287545955,4370.0,26.587364383394615,LAMBAYEQUE,4370.0,8.545938551805413,LAMBAYEQUE,14.596194043287928,4.6916337996282635,0.0
667,8656,19.82308843052229,16736.399195060356,8656.0,223.73177283823244,JUNIN,8656.0,71.91378412657474,JUNIN,11.286423587443869,3.6277790102498164,0.0
668,4370,43.2170091140548,40209.22681499041,4370.0,526.2118415354646,LAMBAYEQUE,4370.0,169.1395204935421,LAMBAYEQUE,12.17603560086098,3.9137257288481697,0.0
669,4370,20.653341377742418,13889.233496566845,4370.0,185.18977995422458,LAMBAYEQUE,4370.0,59.525286413857906,LAMBAYEQUE,8.966577202553719,2.8821141008208384,0.0
670,27857,70.0974679514568,63065.30980103069,27857.0,851.623098146377,JUNIN,27857.0,270.2798991472744,JUNIN,12.149127822079599,3.855772641237854,0.0
671,432,1.67779984337052,1185.032923077595,432.0,15.800438974367932,JUNIN,432.0,5.078712527475408,JUNIN,9.417356329361997,3.0270073915806424,0.0
672,8475,111.56887088435076,83774.53717148221,8475.0,1103.0725740754472,JUNIN,8475.0,354.5590416671079,JUNIN,9.886920655662653,3.177938782177281,0.0
675,442,48.0253713882401,25443.34854885184,442.0,331.7872983629325,JUNIN,442.0,106.64591733094261,JUNIN,6.908583708405777,2.2206161919875713,0.0
676,519,58.476372636124495,45108.13849673536,519.0,601.4418466231382,JUNIN,519.0,193.32059355743726,JUNIN,10.285211265850476,3.3059607640233675,0.0
679,4370,226.37314437792827,167936.5901356415,4370.0,2211.1185908098983,LAMBAYEQUE,4370.0,710.7166899031818,LAMBAYEQUE,9.767583504156537,3.139580412050316,0.0
681,30057,36.83281630657844,32458.745933526992,30057.0,436.26096634716816,LAMBAYEQUE,30057.0,139.10891114368718,LAMBAYEQUE,11.844355389931202,3.7767655339144395,0.0
682,340,5.748817395769383,3161.662649724345,340.0,41.92323216409648,JUNIN,340.0,13.549982784532908,JUNIN,7.292496748104791,2.3570035107576186,0.0
683,8653,18.33432516844576,20788.028621841746,8653.0,277.1737149578899,JUNIN,8653.0,89.09155123646464,JUNIN,15.117748398774937,4.859276271034803,0.0
685,519,54.52309096142363,39038.55166686839,519.0,520.5140222249119,JUNIN,519.0,167.30807857229308,JUNIN,9.546671200156055,3.068572885764446,0.0
687,8475,33.394190609976185,18175.9734344228,37650.0,232.84714485584004,JUNIN,37650.0,74.84372513223433,JUNIN,6.972684188557014,2.2412199177504695,1.0
