DEMAND_ID,UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,POBLACION_CP,ES_URBANO,time_min_car,ALCANZABLE
4372,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,66.87419720427565,True
4373,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,38.7322175784841,True
4374,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,,False
4375,160202,BALSAPUERTO,ALTO AMAZONAS,LORETO,311.0689655172414,False,40.91555923064259,True
4376,120503,ONDORES,JUNIN,JUNIN,23.740259740259738,False,50.4614579611328,True
4377,140307,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,749.5833333333334,False,65.69721984003311,True
4378,140308,OLMOS,LAMBAYEQUE,LAMBAYEQUE,437.7578947368421,False,115.81656175945156,True
4379,140110,OYOTUN,CHICLAYO,LAMBAYEQUE,449.0454545454545,False,190.1041212000901,True
4380,120703,HUARICOLCA,TARMA,JUNIN,295.5454545454545,False,30.184073730133314,True
4381,140203,INCAHUASI,FERREÑAFE,LAMBAYEQUE,302.5576923076923,False,88.21418498175498,True
4382,120206,COMAS,CONCEPCION,JUNIN,134.95555555555555,False,99.9549885338637,True
4383,120128,QUILCAS,HUANCAYO,JUNIN,152.42857142857142,False,33.394190609976185,True
4384,120501,JUNIN,JUNIN,JUNIN,96.85714285714286,False,18.045037493519626,True
4385,120708,SAN PEDRO DE CAJAS,TARMA,JUNIN,153.21621621621622,False,31.09982000938526,True
4386,160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,346.1372549019608,False,,False
4387,160202,BALSAPUERTO,ALTO AMAZONAS,LORETO,311.0689655172414,False,,False
4388,120402,ACOLLA,JAUJA,JUNIN,555.0,False,22.13365511150398,True
4389,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,46.92692466545157,True
4390,120303,PICHANAQUI,CHANCHAMAYO,JUNIN,1118.71875,False,17.55370748416464,True
4391,120128,QUILCAS,HUANCAYO,JUNIN,152.42857142857142,False,33.394190609976185,True
4392,120606,PANGOA,SATIPO,JUNIN,618.2346938775511,False,112.29003715096158,True
4393,140310,SALAS,LAMBAYEQUE,LAMBAYEQUE,200.86153846153846,False,152.08629299141722,True
4394,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,23.741154414399375,True
4395,120702,ACOBAMBA,TARMA,JUNIN,849.125,False,21.10971667412345,True
4396,120305,SAN RAMON,CHANCHAMAYO,JUNIN,746.7567567567568,False,,False
4397,160605,SARAYACU,UCAYALI,LORETO,676.5200000000001,False,,False
4398,120801,LA OROYA,YAULI,JUNIN,349.3611111111111,False,7.335953198990548,True
4399,160303,TIGRE,LORETO,LORETO,279.48387096774195,False,,False
4400,140105,JOSE LEONARDO ORTIZ,CHICLAYO,LAMBAYEQUE,11714.352941176472,False,2.2964824513563262,True
4401,160505,MAQUIA,REQUENA,LORETO,340.32000000000005,False,,False
4402,120604,MAZAMARI,SATIPO,JUNIN,1065.8032786885246,False,17.388684032524957,True
4403,120607,RIO NEGRO,SATIPO,JUNIN,650.0,False,17.578260811791775,True
4404,140107,LAGUNAS,CHICLAYO,LAMBAYEQUE,549.2631578947369,False,49.22735875131323,True
4405,120709,TAPO,TARMA,JUNIN,404.8666666666666,False,37.67609437291945,True
4406,120206,COMAS,CONCEPCION,JUNIN,134.95555555555555,False,31.25707775422116,True
4407,120206,COMAS,CONCEPCION,JUNIN,134.95555555555555,False,51.99574066163288,True
4408,160702,CAHUAPANAS,DATEM DEL MARAÑON,LORETO,278.6774193548387,False,,False
